file_audio;room_type;volume_m3;t30_1000Hz;t30_2000Hz;t30_4000Hz;t30_broadband
biblioteca_variants_150/biblioteca_011.wav;biblioteca;401.555;0.801;0.721;0.679;1.505
biblioteca_variants_150/biblioteca_012.wav;biblioteca;516.335;6.908;4.989;3.962;5.177
biblioteca_variants_150/biblioteca_013.wav;biblioteca;413.743;0.678;0.653;0.635;0.583
biblioteca_variants_150/biblioteca_014.wav;biblioteca;443.529;0.696;0.672;0.667;1.092
biblioteca_variants_150/biblioteca_015.wav;biblioteca;346.701;4.049;4.011;4.089;2.099
biblioteca_variants_150/biblioteca_016.wav;biblioteca;413.502;1.926;1.931;1.928;1.927
biblioteca_variants_150/biblioteca_017.wav;biblioteca;384.604;4.789;1.501;1.378;2.7
biblioteca_variants_150/biblioteca_018.wav;biblioteca;404.856;1.217;0.957;0.693;1.021
biblioteca_variants_150/biblioteca_019.wav;biblioteca;364.424;5.726;4.911;4.314;5.019
biblioteca_variants_150/biblioteca_020.wav;biblioteca;436.247;1.183;1.174;1.156;1.163
biblioteca_variants_150/biblioteca_021.wav;biblioteca;490.075;1.385;1.38;1.38;1.379
biblioteca_variants_150/biblioteca_022.wav;biblioteca;412.49;2.907;2.903;2.276;2.281
biblioteca_variants_150/biblioteca_023.wav;biblioteca;400.06;1.021;0.928;0.917;0.926
biblioteca_variants_150/biblioteca_024.wav;biblioteca;401.986;2.116;2.142;2.182;1.956
biblioteca_variants_150/biblioteca_025.wav;biblioteca;390.516;1.184;1.174;1.143;1.307
biblioteca_variants_150/biblioteca_026.wav;biblioteca;417.122;2.696;3.573;3.047;2.698
biblioteca_variants_150/biblioteca_027.wav;biblioteca;481.473;5.032;4.745;3.508;4.061
biblioteca_variants_150/biblioteca_028.wav;biblioteca;463.362;0.837;0.826;0.825;0.828
biblioteca_variants_150/biblioteca_029.wav;biblioteca;375.011;2.976;3.001;3.027;3.06
biblioteca_variants_150/biblioteca_030.wav;biblioteca;399.567;4.457;4.492;2.87;2.881
biblioteca_variants_150/biblioteca_031.wav;biblioteca;326.004;0.796;0.689;0.502;0.471
biblioteca_variants_150/biblioteca_032.wav;biblioteca;382.827;1.313;1.307;1.304;1.481
biblioteca_variants_150/biblioteca_033.wav;biblioteca;413.851;2.968;3.155;2.931;2.682
biblioteca_variants_150/biblioteca_034.wav;biblioteca;483.564;1.985;1.983;1.987;1.107
biblioteca_variants_150/biblioteca_035.wav;biblioteca;402.409;1.793;0.746;0.644;1.338
biblioteca_variants_150/biblioteca_036.wav;biblioteca;410.62;6.814;6.865;3.917;7.099
